__id,Résultats par cantons - Tour 2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
12,1.0,Ain,9.0,Gex,17433.0,4218.0,24.2,13215.0,75.8,1108.0,6.36,8.38,238.0,1.37,1.8,11869.0,68.08,89.81,1.0,M,MACRON,Emmanuel,9057.0,51.95,76.31,2.0,F,"LE PEN",Marine,2812.0,16.13,23.69
13,1.0,Ain,10.0,Hauteville-Lompnes,15420.0,3568.0,23.14,11852.0,76.86,1190.0,7.72,10.04,393.0,2.55,3.32,10269.0,66.6,86.64,1.0,M,MACRON,Emmanuel,5819.0,37.74,56.67,2.0,F,"LE PEN",Marine,4450.0,28.86,43.33
14,1.0,Ain,11.0,Lagnieu,23509.0,4903.0,20.86,18606.0,79.14,1713.0,7.29,9.21,501.0,2.13,2.69,16392.0,69.73,88.1,1.0,M,MACRON,Emmanuel,8558.0,36.4,52.21,2.0,F,"LE PEN",Marine,7834.0,33.32,47.79
15,1.0,Ain,12.0,Meximieux,21496.0,4708.0,21.9,16788.0,78.1,1507.0,7.01,8.98,389.0,1.81,2.32,14892.0,69.28,88.71,1.0,M,MACRON,Emmanuel,8742.0,40.67,58.7,2.0,F,"LE PEN",Marine,6150.0,28.61,41.3
16,1.0,Ain,13.0,Miribel,20232.0,4575.0,22.61,15657.0,77.39,1336.0,6.6,8.53,341.0,1.69,2.18,13980.0,69.1,89.29,1.0,M,MACRON,Emmanuel,9083.0,44.89,64.97,2.0,F,"LE PEN",Marine,4897.0,24.2,35.03
17,1.0,Ain,14.0,Nantua,13329.0,3376.0,25.33,9953.0,74.67,912.0,6.84,9.16,332.0,2.49,3.34,8709.0,65.34,87.5,1.0,M,MACRON,Emmanuel,5092.0,38.2,58.47,2.0,F,"LE PEN",Marine,3617.0,27.14,41.53
18,1.0,Ain,15.0,Oyonnax,13487.0,4412.0,32.71,9075.0,67.29,682.0,5.06,7.52,200.0,1.48,2.2,8193.0,60.75,90.28,1.0,M,MACRON,Emmanuel,5355.0,39.7,65.36,2.0,F,"LE PEN",Marine,2838.0,21.04,34.64
19,1.0,Ain,16.0,Pont-d'Ain,15300.0,3327.0,21.75,11973.0,78.25,1108.0,7.24,9.25,358.0,2.34,2.99,10507.0,68.67,87.76,1.0,M,MACRON,Emmanuel,5567.0,36.39,52.98,2.0,F,"LE PEN",Marine,4940.0,32.29,47.02
20,1.0,Ain,17.0,Replonges,22142.0,4537.0,20.49,17605.0,79.51,1480.0,6.68,8.41,602.0,2.72,3.42,15523.0,70.11,88.17,1.0,M,MACRON,Emmanuel,8780.0,39.65,56.56,2.0,F,"LE PEN",Marine,6743.0,30.45,43.44
21,1.0,Ain,18.0,Saint-Etienne-du-Bois,16377.0,3125.0,19.08,13252.0,80.92,1326.0,8.1,10.01,407.0,2.49,3.07,11519.0,70.34,86.92,1.0,M,MACRON,Emmanuel,6673.0,40.75,57.93,2.0,F,"LE PEN",Marine,4846.0,29.59,42.07
22,1.0,Ain,19.0,Saint-Genis-Pouilly,13629.0,3216.0,23.6,10413.0,76.4,734.0,5.39,7.05,183.0,1.34,1.76,9496.0,69.67,91.19,1.0,M,MACRON,Emmanuel,7577.0,55.59,79.79,2.0,F,"LE PEN",Marine,1919.0,14.08,20.21
23,1.0,Ain,20.0,Thoiry,14480.0,3234.0,22.33,11246.0,77.67,925.0,6.39,8.23,282.0,1.95,2.51,10039.0,69.33,89.27,1.0,M,MACRON,Emmanuel,7110.0,49.1,70.82,2.0,F,"LE PEN",Marine,2929.0,20.23,29.18
24,1.0,Ain,21.0,Trévoux,22637.0,4592.0,20.29,18045.0,79.71,1569.0,6.93,8.69,410.0,1.81,2.27,16066.0,70.97,89.03,1.0,M,MACRON,Emmanuel,10330.0,45.63,64.3,2.0,F,"LE PEN",Marine,5736.0,25.34,35.7
25,1.0,Ain,22.0,Villars-les-Dombes,23812.0,4712.0,19.79,19100.0,80.21,1723.0,7.24,9.02,484.0,2.03,2.53,16893.0,70.94,88.45,1.0,M,MACRON,Emmanuel,9311.0,39.1,55.12,2.0,F,"LE PEN",Marine,7582.0,31.84,44.88
26,1.0,Ain,23.0,Vonnas,16631.0,3348.0,20.13,13283.0,79.87,1202.0,7.23,9.05,403.0,2.42,3.03,11678.0,70.22,87.92,1.0,M,MACRON,Emmanuel,6713.0,40.36,57.48,2.0,F,"LE PEN",Marine,4965.0,29.85,42.52
27,2.0,Aisne,1.0,Bohain-en-Vermandois,15456.0,3381.0,21.88,12075.0,78.13,963.0,6.23,7.98,397.0,2.57,3.29,10715.0,69.33,88.74,1.0,M,MACRON,Emmanuel,4296.0,27.8,40.09,2.0,F,"LE PEN",Marine,6419.0,41.53,59.91
28,2.0,Aisne,2.0,Château-Thierry,18675.0,4866.0,26.06,13809.0,73.94,1161.0,6.22,8.41,506.0,2.71,3.66,12142.0,65.02,87.93,1.0,M,MACRON,Emmanuel,6737.0,36.07,55.49,2.0,F,"LE PEN",Marine,5405.0,28.94,44.51
29,2.0,Aisne,3.0,Chauny,17752.0,4564.0,25.71,13188.0,74.29,1054.0,5.94,7.99,372.0,2.1,2.82,11762.0,66.26,89.19,1.0,M,MACRON,Emmanuel,5326.0,30.0,45.28,2.0,F,"LE PEN",Marine,6436.0,36.26,54.72
30,2.0,Aisne,4.0,Essômes-sur-Marne,20291.0,4631.0,22.82,15660.0,77.18,1418.0,6.99,9.05,507.0,2.5,3.24,13735.0,67.69,87.71,1.0,M,MACRON,Emmanuel,6496.0,32.01,47.3,2.0,F,"LE PEN",Marine,7239.0,35.68,52.7
31,2.0,Aisne,5.0,Fère-en-Tardenois,20133.0,4133.0,20.53,16000.0,79.47,1232.0,6.12,7.7,476.0,2.36,2.98,14292.0,70.99,89.33,1.0,M,MACRON,Emmanuel,6233.0,30.96,43.61,2.0,F,"LE PEN",Marine,8059.0,40.03,56.39
32,2.0,Aisne,6.0,Guignicourt,18614.0,3693.0,19.84,14921.0,80.16,1338.0,7.19,8.97,412.0,2.21,2.76,13171.0,70.76,88.27,1.0,M,MACRON,Emmanuel,5962.0,32.03,45.27,2.0,F,"LE PEN",Marine,7209.0,38.73,54.73
33,2.0,Aisne,7.0,Guise,16878.0,3665.0,21.71,13213.0,78.29,941.0,5.58,7.12,425.0,2.52,3.22,11847.0,70.19,89.66,1.0,M,MACRON,Emmanuel,4519.0,26.77,38.14,2.0,F,"LE PEN",Marine,7328.0,43.42,61.86
34,2.0,Aisne,8.0,Hirson,15569.0,4370.0,28.07,11199.0,71.93,766.0,4.92,6.84,442.0,2.84,3.95,9991.0,64.17,89.21,1.0,M,MACRON,Emmanuel,4155.0,26.69,41.59,2.0,F,"LE PEN",Marine,5836.0,37.48,58.41
35,2.0,Aisne,9.0,Laon-1,17102.0,4227.0,24.72,12875.0,75.28,1107.0,6.47,8.6,456.0,2.67,3.54,11312.0,66.14,87.86,1.0,M,MACRON,Emmanuel,5826.0,34.07,51.5,2.0,F,"LE PEN",Marine,5486.0,32.08,48.5
36,2.0,Aisne,10.0,Laon-2,17049.0,4536.0,26.61,12513.0,73.39,1110.0,6.51,8.87,361.0,2.12,2.88,11042.0,64.77,88.24,1.0,M,MACRON,Emmanuel,6115.0,35.87,55.38,2.0,F,"LE PEN",Marine,4927.0,28.9,44.62
37,2.0,Aisne,11.0,Marle,14692.0,2752.0,18.73,11940.0,81.27,1001.0,6.81,8.38,386.0,2.63,3.23,10553.0,71.83,88.38,1.0,M,MACRON,Emmanuel,4224.0,28.75,40.03,2.0,F,"LE PEN",Marine,6329.0,43.08,59.97
38,2.0,Aisne,12.0,Ribemont,20090.0,4263.0,21.22,15827.0,78.78,1320.0,6.57,8.34,465.0,2.31,2.94,14042.0,69.9,88.72,1.0,M,MACRON,Emmanuel,6050.0,30.11,43.09,2.0,F,"LE PEN",Marine,7992.0,39.78,56.91
39,2.0,Aisne,13.0,Saint-Quentin-1,19253.0,4737.0,24.6,14516.0,75.4,1142.0,5.93,7.87,450.0,2.34,3.1,12924.0,67.13,89.03,1.0,M,MACRON,Emmanuel,7350.0,38.18,56.87,2.0,F,"LE PEN",Marine,5574.0,28.95,43.13
40,2.0,Aisne,14.0,Saint-Quentin-2,15820.0,4139.0,26.16,11681.0,73.84,825.0,5.21,7.06,350.0,2.21,3.0,10506.0,66.41,89.94,1.0,M,MACRON,Emmanuel,6023.0,38.07,57.33,2.0,F,"LE PEN",Marine,4483.0,28.34,42.67
41,2.0,Aisne,15.0,Saint-Quentin-3,19044.0,5140.0,26.99,13904.0,73.01,1084.0,5.69,7.8,412.0,2.16,2.96,12408.0,65.15,89.24,1.0,M,MACRON,Emmanuel,6176.0,32.43,49.77,2.0,F,"LE PEN",Marine,6232.0,32.72,50.23
42,2.0,Aisne,16.0,Soissons-1,16108.0,4379.0,27.19,11729.0,72.81,876.0,5.44,7.47,351.0,2.18,2.99,10502.0,65.2,89.54,1.0,M,MACRON,Emmanuel,5328.0,33.08,50.73,2.0,F,"LE PEN",Marine,5174.0,32.12,49.27
43,2.0,Aisne,17.0,Soissons-2,18284.0,5298.0,28.98,12986.0,71.02,958.0,5.24,7.38,350.0,1.91,2.7,11678.0,63.87,89.93,1.0,M,MACRON,Emmanuel,6341.0,34.68,54.3,2.0,F,"LE PEN",Marine,5337.0,29.19,45.7
44,2.0,Aisne,18.0,Tergnier,21096.0,6075.0,28.8,15021.0,71.2,1151.0,5.46,7.66,565.0,2.68,3.76,13305.0,63.07,88.58,1.0,M,MACRON,Emmanuel,5718.0,27.1,42.98,2.0,F,"LE PEN",Marine,7587.0,35.96,57.02
45,2.0,Aisne,19.0,Vervins,16236.0,3483.0,21.45,12753.0,78.55,949.0,5.85,7.44,403.0,2.48,3.16,11401.0,70.22,89.4,1.0,M,MACRON,Emmanuel,4600.0,28.33,40.35,2.0,F,"LE PEN",Marine,6801.0,41.89,59.65
46,2.0,Aisne,20.0,Vic-sur-Aisne,15711.0,3310.0,21.07,12401.0,78.93,1062.0,6.76,8.56,384.0,2.44,3.1,10955.0,69.73,88.34,1.0,M,MACRON,Emmanuel,4721.0,30.05,43.09,2.0,F,"LE PEN",Marine,6234.0,39.68,56.91
47,2.0,Aisne,21.0,Villers-Cotterêts,21938.0,5103.0,23.26,16835.0,76.74,1380.0,6.29,8.2,597.0,2.72,3.55,14858.0,67.73,88.26,1.0,M,MACRON,Emmanuel,7006.0,31.94,47.15,2.0,F,"LE PEN",Marine,7852.0,35.79,52.85
48,3.0,Allier,1.0,Bellerive-sur-Allier,13809.0,2676.0,19.38,11133.0,80.62,1039.0,7.52,9.33,404.0,2.93,3.63,9690.0,70.17,87.04,1.0,M,MACRON,Emmanuel,6335.0,45.88,65.38,2.0,F,"LE PEN",Marine,3355.0,24.3,34.62
49,3.0,Allier,2.0,Bourbon-l'Archambault,13009.0,2803.0,21.55,10206.0,78.45,1027.0,7.89,10.06,478.0,3.67,4.68,8701.0,66.88,85.25,1.0,M,MACRON,Emmanuel,5216.0,40.1,59.95,2.0,F,"LE PEN",Marine,3485.0,26.79,40.05
50,3.0,Allier,3.0,Commentry,13709.0,3172.0,23.14,10537.0,76.86,1008.0,7.35,9.57,590.0,4.3,5.6,8939.0,65.21,84.83,1.0,M,MACRON,Emmanuel,5346.0,39.0,59.81,2.0,F,"LE PEN",Marine,3593.0,26.21,40.19
51,3.0,Allier,4.0,Cusset,12495.0,2627.0,21.02,9868.0,78.98,911.0,7.29,9.23,350.0,2.8,3.55,8607.0,68.88,87.22,1.0,M,MACRON,Emmanuel,5665.0,45.34,65.82,2.0,F,"LE PEN",Marine,2942.0,23.55,34.18
52,3.0,Allier,5.0,Dompierre-sur-Besbre,15657.0,3252.0,20.77,12405.0,79.23,1188.0,7.59,9.58,503.0,3.21,4.05,10714.0,68.43,86.37,1.0,M,MACRON,Emmanuel,6511.0,41.59,60.77,2.0,F,"LE PEN",Marine,4203.0,26.84,39.23
53,3.0,Allier,6.0,Gannat,15381.0,3413.0,22.19,11968.0,77.81,1162.0,7.55,9.71,505.0,3.28,4.22,10301.0,66.97,86.07,1.0,M,MACRON,Emmanuel,6358.0,41.34,61.72,2.0,F,"LE PEN",Marine,3943.0,25.64,38.28
54,3.0,Allier,7.0,Huriel,12675.0,2677.0,21.12,9998.0,78.88,1020.0,8.05,10.2,500.0,3.94,5.0,8478.0,66.89,84.8,1.0,M,MACRON,Emmanuel,5132.0,40.49,60.53,2.0,F,"LE PEN",Marine,3346.0,26.4,39.47
55,3.0,Allier,8.0,Lapalisse,14323.0,2824.0,19.72,11499.0,80.28,1041.0,7.27,9.05,673.0,4.7,5.85,9785.0,68.32,85.09,1.0,M,MACRON,Emmanuel,5703.0,39.82,58.28,2.0,F,"LE PEN",Marine,4082.0,28.5,41.72
56,3.0,Allier,9.0,Montluçon-1,12376.0,3187.0,25.75,9189.0,74.25,904.0,7.3,9.84,574.0,4.64,6.25,7711.0,62.31,83.92,1.0,M,MACRON,Emmanuel,4944.0,39.95,64.12,2.0,F,"LE PEN",Marine,2767.0,22.36,35.88
57,3.0,Allier,10.0,Montluçon-2,11865.0,3730.0,31.44,8135.0,68.56,817.0,6.89,10.04,443.0,3.73,5.45,6875.0,57.94,84.51,1.0,M,MACRON,Emmanuel,4678.0,39.43,68.04,2.0,F,"LE PEN",Marine,2197.0,18.52,31.96
58,3.0,Allier,11.0,Montluçon-3,14803.0,3786.0,25.58,11017.0,74.42,1186.0,8.01,10.77,473.0,3.2,4.29,9358.0,63.22,84.94,1.0,M,MACRON,Emmanuel,6597.0,44.57,70.5,2.0,F,"LE PEN",Marine,2761.0,18.65,29.5
59,3.0,Allier,12.0,Montluçon-4,10878.0,3042.0,27.96,7836.0,72.04,876.0,8.05,11.18,329.0,3.02,4.2,6631.0,60.96,84.62,1.0,M,MACRON,Emmanuel,4425.0,40.68,66.73,2.0,F,"LE PEN",Marine,2206.0,20.28,33.27
60,3.0,Allier,13.0,Moulins-1,12856.0,3301.0,25.68,9555.0,74.32,890.0,6.92,9.31,352.0,2.74,3.68,8313.0,64.66,87.0,1.0,M,MACRON,Emmanuel,5790.0,45.04,69.65,2.0,F,"LE PEN",Marine,2523.0,19.63,30.35
61,3.0,Allier,14.0,Moulins-2,14278.0,3695.0,25.88,10583.0,74.12,1005.0,7.04,9.5,442.0,3.1,4.18,9136.0,63.99,86.33,1.0,M,MACRON,Emmanuel,5744.0,40.23,62.87,2.0,F,"LE PEN",Marine,3392.0,23.76,37.13
62,3.0,Allier,15.0,Saint-Pourçain-sur-Sioule,14373.0,3078.0,21.42,11295.0,78.58,995.0,6.92,8.81,459.0,3.19,4.06,9841.0,68.47,87.13,1.0,M,MACRON,Emmanuel,5667.0,39.43,57.59,2.0,F,"LE PEN",Marine,4174.0,29.04,42.41
63,3.0,Allier,16.0,Souvigny,11742.0,2169.0,18.47,9573.0,81.53,1008.0,8.58,10.53,419.0,3.57,4.38,8146.0,69.37,85.09,1.0,M,MACRON,Emmanuel,5231.0,44.55,64.22,2.0,F,"LE PEN",Marine,2915.0,24.83,35.78
64,3.0,Allier,17.0,Vichy-1,13709.0,3608.0,26.32,10101.0,73.68,896.0,6.54,8.87,348.0,2.54,3.45,8857.0,64.61,87.68,1.0,M,MACRON,Emmanuel,5751.0,41.95,64.93,2.0,F,"LE PEN",Marine,3106.0,22.66,35.07
65,3.0,Allier,18.0,Vichy-2,12714.0,3664.0,28.82,9050.0,71.18,812.0,6.39,8.97,300.0,2.36,3.31,7938.0,62.44,87.71,1.0,M,MACRON,Emmanuel,5416.0,42.6,68.23,2.0,F,"LE PEN",Marine,2522.0,19.84,31.77
66,3.0,Allier,19.0,Yzeure,12827.0,2590.0,20.19,10237.0,79.81,1092.0,8.51,10.67,380.0,2.96,3.71,8765.0,68.33,85.62,1.0,M,MACRON,Emmanuel,6070.0,47.32,69.25,2.0,F,"LE PEN",Marine,2695.0,21.01,30.75
67,4.0,Alpes-de-Haute-Provence,1.0,Barcelonnette,6498.0,1519.0,23.38,4979.0,76.62,548.0,8.43,11.01,184.0,2.83,3.7,4247.0,65.36,85.3,1.0,M,MACRON,Emmanuel,2529.0,38.92,59.55,2.0,F,"LE PEN",Marine,1718.0,26.44,40.45
68,4.0,Alpes-de-Haute-Provence,2.0,Castellane,8489.0,1773.0,20.89,6716.0,79.11,750.0,8.83,11.17,261.0,3.07,3.89,5705.0,67.2,84.95,1.0,M,MACRON,Emmanuel,3028.0,35.67,53.08,2.0,F,"LE PEN",Marine,2677.0,31.53,46.92
69,4.0,Alpes-de-Haute-Provence,3.0,Château-Arnoux-Saint-Auban,9566.0,2178.0,22.77,7388.0,77.23,608.0,6.36,8.23,342.0,3.58,4.63,6438.0,67.3,87.14,1.0,M,MACRON,Emmanuel,3764.0,39.35,58.47,2.0,F,"LE PEN",Marine,2674.0,27.95,41.53
70,4.0,Alpes-de-Haute-Provence,4.0,Digne-les-Bains-1,7820.0,1912.0,24.45,5908.0,75.55,606.0,7.75,10.26,225.0,2.88,3.81,5077.0,64.92,85.93,1.0,M,MACRON,Emmanuel,3162.0,40.43,62.28,2.0,F,"LE PEN",Marine,1915.0,24.49,37.72
71,4.0,Alpes-de-Haute-Provence,5.0,Digne-les-Bains-2,8907.0,1863.0,20.92,7044.0,79.08,636.0,7.14,9.03,277.0,3.11,3.93,6131.0,68.83,87.04,1.0,M,MACRON,Emmanuel,3624.0,40.69,59.11,2.0,F,"LE PEN",Marine,2507.0,28.15,40.89
72,4.0,Alpes-de-Haute-Provence,6.0,Forcalquier,8630.0,1854.0,21.48,6776.0,78.52,815.0,9.44,12.03,218.0,2.53,3.22,5743.0,66.55,84.76,1.0,M,MACRON,Emmanuel,3539.0,41.01,61.62,2.0,F,"LE PEN",Marine,2204.0,25.54,38.38
73,4.0,Alpes-de-Haute-Provence,7.0,Manosque-1,8982.0,2339.0,26.04,6643.0,73.96,632.0,7.04,9.51,187.0,2.08,2.81,5824.0,64.84,87.67,1.0,M,MACRON,Emmanuel,3703.0,41.23,63.58,2.0,F,"LE PEN",Marine,2121.0,23.61,36.42
74,4.0,Alpes-de-Haute-Provence,8.0,Manosque-2,7978.0,2150.0,26.95,5828.0,73.05,502.0,6.29,8.61,222.0,2.78,3.81,5104.0,63.98,87.58,1.0,M,MACRON,Emmanuel,3294.0,41.29,64.54,2.0,F,"LE PEN",Marine,1810.0,22.69,35.46
75,4.0,Alpes-de-Haute-Provence,9.0,Manosque-3,8392.0,2310.0,27.53,6082.0,72.47,568.0,6.77,9.34,207.0,2.47,3.4,5307.0,63.24,87.26,1.0,M,MACRON,Emmanuel,3082.0,36.73,58.07,2.0,F,"LE PEN",Marine,2225.0,26.51,41.93
76,4.0,Alpes-de-Haute-Provence,10.0,Oraison,10256.0,2637.0,25.71,7619.0,74.29,722.0,7.04,9.48,255.0,2.49,3.35,6642.0,64.76,87.18,1.0,M,MACRON,Emmanuel,3489.0,34.02,52.53,2.0,F,"LE PEN",Marine,3153.0,30.74,47.47
77,4.0,Alpes-de-Haute-Provence,11.0,Reillanne,8823.0,1895.0,21.48,6928.0,78.52,740.0,8.39,10.68,329.0,3.73,4.75,5859.0,66.41,84.57,1.0,M,MACRON,Emmanuel,3537.0,40.09,60.37,2.0,F,"LE PEN",Marine,2322.0,26.32,39.63
78,4.0,Alpes-de-Haute-Provence,12.0,Riez,7729.0,1665.0,21.54,6064.0,78.46,660.0,8.54,10.88,245.0,3.17,4.04,5159.0,66.75,85.08,1.0,M,MACRON,Emmanuel,2910.0,37.65,56.41,2.0,F,"LE PEN",Marine,2249.0,29.1,43.59
79,4.0,Alpes-de-Haute-Provence,13.0,Seyne,7313.0,1420.0,19.42,5893.0,80.58,648.0,8.86,11.0,243.0,3.32,4.12,5002.0,68.4,84.88,1.0,M,MACRON,Emmanuel,2841.0,38.85,56.8,2.0,F,"LE PEN",Marine,2161.0,29.55,43.2
80,4.0,Alpes-de-Haute-Provence,14.0,Sisteron,9798.0,2240.0,22.86,7558.0,77.14,684.0,6.98,9.05,351.0,3.58,4.64,6523.0,66.57,86.31,1.0,M,MACRON,Emmanuel,3850.0,39.29,59.02,2.0,F,"LE PEN",Marine,2673.0,27.28,40.98
81,4.0,Alpes-de-Haute-Provence,15.0,Valensole,7278.0,1500.0,20.61,5778.0,79.39,552.0,7.58,9.55,176.0,2.42,3.05,5050.0,69.39,87.4,1.0,M,MACRON,Emmanuel,2642.0,36.3,52.32,2.0,F,"LE PEN",Marine,2408.0,33.09,47.68
82,5.0,Hautes-Alpes,1.0,L'Argentière-la-Bessée,5476.0,1306.0,23.85,4170.0,76.15,486.0,8.88,11.65,117.0,2.14,2.81,3567.0,65.14,85.54,1.0,M,MACRON,Emmanuel,2570.0,46.93,72.05,2.0,F,"LE PEN",Marine,997.0,18.21,27.95
83,5.0,Hautes-Alpes,2.0,Briançon-1,7447.0,1779.0,23.89,5668.0,76.11,593.0,7.96,10.46,155.0,2.08,2.73,4920.0,66.07,86.8,1.0,M,MACRON,Emmanuel,3343.0,44.89,67.95,2.0,F,"LE PEN",Marine,1577.0,21.18,32.05
84,5.0,Hautes-Alpes,3.0,Briançon-2,7925.0,2085.0,26.31,5840.0,73.69,630.0,7.95,10.79,194.0,2.45,3.32,5016.0,63.29,85.89,1.0,M,MACRON,Emmanuel,3436.0,43.36,68.5,2.0,F,"LE PEN",Marine,1580.0,19.94,31.5
85,5.0,Hautes-Alpes,4.0,Chorges,8535.0,1606.0,18.82,6929.0,81.18,677.0,7.93,9.77,221.0,2.59,3.19,6031.0,70.66,87.04,1.0,M,MACRON,Emmanuel,3406.0,39.91,56.47,2.0,F,"LE PEN",Marine,2625.0,30.76,43.53
86,5.0,Hautes-Alpes,5.0,Embrun,8929.0,2256.0,25.27,6673.0,74.73,693.0,7.76,10.39,204.0,2.28,3.06,5776.0,64.69,86.56,1.0,M,MACRON,Emmanuel,3923.0,43.94,67.92,2.0,F,"LE PEN",Marine,1853.0,20.75,32.08
87,5.0,Hautes-Alpes,6.0,Gap-1,7179.0,2237.0,31.16,4942.0,68.84,419.0,5.84,8.48,137.0,1.91,2.77,4386.0,61.09,88.75,1.0,M,MACRON,Emmanuel,3095.0,43.11,70.57,2.0,F,"LE PEN",Marine,1291.0,17.98,29.43
88,5.0,Hautes-Alpes,7.0,Gap-2,7420.0,1843.0,24.84,5577.0,75.16,493.0,6.64,8.84,176.0,2.37,3.16,4908.0,66.15,88.0,1.0,M,MACRON,Emmanuel,3317.0,44.7,67.58,2.0,F,"LE PEN",Marine,1591.0,21.44,32.42
89,5.0,Hautes-Alpes,8.0,Gap-3,7596.0,1818.0,23.93,5778.0,76.07,459.0,6.04,7.94,172.0,2.26,2.98,5147.0,67.76,89.08,1.0,M,MACRON,Emmanuel,3276.0,43.13,63.65,2.0,F,"LE PEN",Marine,1871.0,24.63,36.35
90,5.0,Hautes-Alpes,9.0,Gap-4,6678.0,1580.0,23.66,5098.0,76.34,440.0,6.59,8.63,153.0,2.29,3.0,4505.0,67.46,88.37,1.0,M,MACRON,Emmanuel,3092.0,46.3,68.63,2.0,F,"LE PEN",Marine,1413.0,21.16,31.37
91,5.0,Hautes-Alpes,10.0,Guillestre,6889.0,1522.0,22.09,5367.0,77.91,655.0,9.51,12.2,149.0,2.16,2.78,4563.0,66.24,85.02,1.0,M,MACRON,Emmanuel,2952.0,42.85,64.69,2.0,F,"LE PEN",Marine,1611.0,23.39,35.31
92,5.0,Hautes-Alpes,11.0,Laragne-Montéglin,5843.0,1145.0,19.6,4698.0,80.4,523.0,8.95,11.13,180.0,3.08,3.83,3995.0,68.37,85.04,1.0,M,MACRON,Emmanuel,2232.0,38.2,55.87,2.0,F,"LE PEN",Marine,1763.0,30.17,44.13
