taux_chomage,cmu_nb_allocataires,cmu_taux_couverture,rsa_nb_allocataires,beneficiaires_minimum_vieillesse,taux_de_pauvrete_30_39,taux_de_pauvrete_40_49,taux_de_pauvrete_50_59,taux_de_pauvrete_60_74,taux_de_pauvrete_75_plus,taux_de_pauvrete_ensemble,taux_de_pauvrete_moins_30,taux_occupation_carcerale,auteurs_poursuivables,taux_reussite_brevet,taux_reussite_bac_general,taux_reussite_bac_techno,taux_reussite_bac_pro,taux_reussite_bac_ensemble,taux_reussite_bep,taux_reussite_bts,taux_reussite_cap,part_0_24,part_25_59,part_60_plus,part_75_plus,hommes,femmes,total,nb_logements_sociaux
18.16,17160.16,20.49,34369.7,4382.06,29.75,31.18,28.57,22.67,21.52,29.67,29.01,116.73,27910.38,67.1,69.28,50.42,54.17,56.21,31.85,50.87,43.26,29.78,39.78,26.04,8.88,831714.5,595592.35,1228475.3,36942.03
17.97,18182.94,18.77,20236.73,3709.61,29.34,31.01,27.95,27.83,26.09,28.69,35.09,121.12,19392.54,60.08,52.77,45.8,37.2,51.2,41.8,49.21,30.31,27.43,36.13,28.84,14.6,542333.97,853294.47,1666936.69,29277.09
15.02,22149.84,17.04,24688.92,3206.93,28.32,31.11,36.01,27.83,28.47,30.43,33.61,149.47,29302.17,55.04,67.51,48.48,52.76,59.56,42.76,48.4,46.47,28.98,44.11,26.34,9.39,689570.33,570305.68,1215192.13,22933.64
15.95,16164.21,24.15,20733.69,3597.76,25.77,32.03,37.6,28.74,24.36,32.9,32.28,148.85,16820.16,52.23,50.3,59.1,41.44,59.41,32.0,56.53,45.07,29.07,38.12,33.13,11.72,749791.9,721763.9,1237669.05,24692.24
19.43,18525.66,24.39,33121.56,3326.42,32.24,25.77,35.37,24.42,24.65,26.23,38.19,105.78,17708.07,55.15,56.34,56.03,35.09,52.87,34.37,47.93,49.66,26.56,39.2,25.48,8.36,869135.59,785791.63,1301055.43,29011.47
15.16,15098.3,23.37,30406.37,3465.65,32.51,27.12,36.01,26.49,28.36,27.67,38.92,120.58,21819.28,62.36,59.52,47.65,39.7,52.54,44.62,53.53,35.11,26.99,42.7,34.97,12.7,630781.07,787019.75,1569697.01,37432.72
19.79,28479.66,19.33,32398.38,4088.83,31.15,27.98,37.31,28.99,25.1,32.63,33.94,139.28,15821.49,59.21,64.33,53.92,45.51,58.5,34.61,41.17,43.6,25.59,38.1,29.41,14.56,713773.07,718881.65,1174782.74,22704.69
16.2,23283.52,22.16,33775.22,3709.82,34.02,34.66,31.55,23.59,24.61,28.41,33.37,130.71,21163.74,64.81,63.96,48.51,46.07,58.49,33.82,42.49,43.74,28.47,37.05,34.9,11.72,662937.05,898051.61,1365716.57,23909.02
12.75,17513.2,23.51,22296.78,4489.29,26.33,31.58,30.51,23.87,22.94,28.34,39.01,135.27,23548.95,57.54,55.54,55.58,45.95,61.95,31.99,44.62,40.06,29.89,40.51,31.67,12.48,582127.9,754090.97,1022608.92,30248.44
18.51,28933.17,15.79,27050.43,4296.32,27.01,26.74,34.78,26.39,23.62,31.97,38.54,142.89,26680.13,65.41,51.5,45.71,46.81,64.4,40.55,52.06,32.56,26.46,40.5,34.53,13.9,679198.68,825298.8,1329685.99,36115.55
